id,type,x,y,z,users,total_bw,shared_bw,active
459,FEMTO,2,18,1,0,6800.0,6800.0,false
460,FEMTO,2,18,1,0,6800.0,6800.0,false
461,FEMTO,2,18,1,0,6800.0,6800.0,false
462,FEMTO,2,18,1,0,6800.0,6800.0,false
463,FEMTO,2,18,1,0,6800.0,6800.0,false
464,FEMTO,2,18,1,0,6800.0,6800.0,true
465,FEMTO,2,18,1,0,6800.0,6800.0,false
466,FEMTO,2,18,1,0,6800.0,6800.0,true
467,FEMTO,2,18,1,0,6800.0,6800.0,false
468,FEMTO,2,18,1,3,6800.0,2266.6666666666665,true
469,FEMTO,2,18,1,2,6800.0,3400.0,true
470,FEMTO,2,18,1,0,6800.0,6800.0,false
471,FEMTO,82,56,1,1,6800.0,6800.0,true
472,FEMTO,82,56,1,0,6800.0,6800.0,false
473,FEMTO,82,56,1,0,6800.0,6800.0,false
474,FEMTO,82,56,1,0,6800.0,6800.0,false
475,FEMTO,82,56,1,0,6800.0,6800.0,true
476,FEMTO,82,56,1,0,6800.0,6800.0,false
477,FEMTO,82,56,1,0,6800.0,6800.0,false
478,FEMTO,82,56,1,0,6800.0,6800.0,false
479,FEMTO,82,56,1,0,6800.0,6800.0,false
480,FEMTO,82,56,1,0,6800.0,6800.0,false
481,FEMTO,82,56,1,2,6800.0,3400.0,true
482,FEMTO,82,56,1,0,6800.0,6800.0,false
483,FEMTO,12,33,1,0,6800.0,6800.0,false
484,FEMTO,12,33,1,0,6800.0,6800.0,true
485,FEMTO,12,33,1,0,6800.0,6800.0,false
486,FEMTO,12,33,1,0,6800.0,6800.0,true
487,FEMTO,12,33,1,0,6800.0,6800.0,false
488,FEMTO,12,33,1,0,6800.0,6800.0,true
489,FEMTO,12,33,1,0,6800.0,6800.0,false
490,FEMTO,12,33,1,0,6800.0,6800.0,false
491,FEMTO,12,33,1,0,6800.0,6800.0,false
492,FEMTO,12,33,1,0,6800.0,6800.0,true
493,FEMTO,12,33,1,0,6800.0,6800.0,true
494,FEMTO,12,33,1,0,6800.0,6800.0,false
495,FEMTO,66,14,1,0,6800.0,6800.0,false
496,FEMTO,66,14,1,1,6800.0,6800.0,true
497,FEMTO,66,14,1,0,6800.0,6800.0,false
498,FEMTO,66,14,1,0,6800.0,6800.0,false
499,FEMTO,66,14,1,0,6800.0,6800.0,false
500,FEMTO,66,14,1,4,6800.0,1700.0,true
501,FEMTO,66,14,1,2,6800.0,3400.0,true
502,FEMTO,66,14,1,0,6800.0,6800.0,false
503,FEMTO,66,14,1,1,6800.0,6800.0,true
504,FEMTO,66,14,1,0,6800.0,6800.0,false
505,FEMTO,66,14,1,3,6800.0,2266.6666666666665,true
506,FEMTO,66,14,1,1,6800.0,6800.0,true
507,FEMTO,53,70,1,0,6800.0,6800.0,false
508,FEMTO,53,70,1,0,6800.0,6800.0,false
509,FEMTO,53,70,1,1,6800.0,6800.0,true
510,FEMTO,53,70,1,0,6800.0,6800.0,false
511,FEMTO,53,70,1,0,6800.0,6800.0,false
512,FEMTO,53,70,1,0,6800.0,6800.0,false
513,FEMTO,53,70,1,0,6800.0,6800.0,true
514,FEMTO,53,70,1,0,6800.0,6800.0,false
515,FEMTO,53,70,1,0,6800.0,6800.0,false
516,FEMTO,53,70,1,0,6800.0,6800.0,false
517,FEMTO,53,70,1,0,6800.0,6800.0,true
518,FEMTO,53,70,1,0,6800.0,6800.0,false
519,FEMTO,4,19,1,0,6800.0,6800.0,false
520,FEMTO,4,19,1,0,6800.0,6800.0,true
521,FEMTO,4,19,1,0,6800.0,6800.0,false
522,FEMTO,4,19,1,0,6800.0,6800.0,true
523,FEMTO,4,19,1,0,6800.0,6800.0,true
524,FEMTO,4,19,1,0,6800.0,6800.0,true
525,FEMTO,4,19,1,0,6800.0,6800.0,true
526,FEMTO,4,19,1,1,6800.0,6800.0,true
527,FEMTO,4,19,1,1,6800.0,6800.0,true
528,FEMTO,4,19,1,0,6800.0,6800.0,false
529,FEMTO,4,19,1,0,6800.0,6800.0,false
530,FEMTO,4,19,1,0,6800.0,6800.0,false
531,FEMTO,31,64,1,0,6800.0,6800.0,true
532,FEMTO,31,64,1,0,6800.0,6800.0,false
533,FEMTO,31,64,1,0,6800.0,6800.0,false
534,FEMTO,31,64,1,0,6800.0,6800.0,true
535,FEMTO,31,64,1,0,6800.0,6800.0,false
536,FEMTO,31,64,1,0,6800.0,6800.0,false
537,FEMTO,31,64,1,0,6800.0,6800.0,false
538,FEMTO,31,64,1,0,6800.0,6800.0,false
539,FEMTO,31,64,1,2,6800.0,3400.0,true
540,FEMTO,31,64,1,1,6800.0,6800.0,true
541,FEMTO,31,64,1,0,6800.0,6800.0,true
542,FEMTO,31,64,1,0,6800.0,6800.0,false
543,FEMTO,75,95,1,0,6800.0,6800.0,false
544,FEMTO,75,95,1,0,6800.0,6800.0,false
545,FEMTO,75,95,1,1,6800.0,6800.0,true
546,FEMTO,75,95,1,0,6800.0,6800.0,true
547,FEMTO,75,95,1,1,6800.0,6800.0,true
548,FEMTO,75,95,1,0,6800.0,6800.0,true
549,FEMTO,75,95,1,0,6800.0,6800.0,false
550,FEMTO,75,95,1,0,6800.0,6800.0,true
551,FEMTO,75,95,1,2,6800.0,3400.0,true
552,FEMTO,75,95,1,0,6800.0,6800.0,false
553,FEMTO,75,95,1,0,6800.0,6800.0,false
554,FEMTO,75,95,1,0,6800.0,6800.0,false
555,FEMTO,64,67,1,0,6800.0,6800.0,false
556,FEMTO,64,67,1,0,6800.0,6800.0,true
557,FEMTO,64,67,1,0,6800.0,6800.0,false
558,FEMTO,64,67,1,0,6800.0,6800.0,false
559,FEMTO,64,67,1,0,6800.0,6800.0,false
560,FEMTO,64,67,1,1,6800.0,6800.0,true
561,FEMTO,64,67,1,0,6800.0,6800.0,false
562,FEMTO,64,67,1,0,6800.0,6800.0,true
563,FEMTO,64,67,1,0,6800.0,6800.0,false
564,FEMTO,64,67,1,0,6800.0,6800.0,true
565,FEMTO,64,67,1,0,6800.0,6800.0,true
566,FEMTO,64,67,1,0,6800.0,6800.0,false
567,FEMTO,5,18,1,1,6800.0,6800.0,true
568,FEMTO,5,18,1,0,6800.0,6800.0,false
569,FEMTO,5,18,1,0,6800.0,6800.0,false
570,FEMTO,5,18,1,0,6800.0,6800.0,false
571,FEMTO,5,18,1,1,6800.0,6800.0,true
572,FEMTO,5,18,1,0,6800.0,6800.0,true
573,FEMTO,5,18,1,0,6800.0,6800.0,false
574,FEMTO,5,18,1,1,6800.0,6800.0,true
575,FEMTO,5,18,1,0,6800.0,6800.0,false
576,FEMTO,5,18,1,0,6800.0,6800.0,false
577,FEMTO,5,18,1,0,6800.0,6800.0,true
578,FEMTO,5,18,1,0,6800.0,6800.0,false
579,FEMTO,73,96,1,0,6800.0,6800.0,false
580,FEMTO,73,96,1,0,6800.0,6800.0,false
581,FEMTO,73,96,1,0,6800.0,6800.0,false
582,FEMTO,73,96,1,1,6800.0,6800.0,true
583,FEMTO,73,96,1,0,6800.0,6800.0,false
584,FEMTO,73,96,1,0,6800.0,6800.0,false
585,FEMTO,73,96,1,0,6800.0,6800.0,false
586,FEMTO,73,96,1,0,6800.0,6800.0,false
587,FEMTO,73,96,1,0,6800.0,6800.0,false
588,FEMTO,73,96,1,0,6800.0,6800.0,false
589,FEMTO,73,96,1,0,6800.0,6800.0,false
590,FEMTO,73,96,1,0,6800.0,6800.0,true
591,FEMTO,57,23,1,1,6800.0,6800.0,true
592,FEMTO,57,23,1,1,6800.0,6800.0,true
593,FEMTO,57,23,1,0,6800.0,6800.0,true
594,FEMTO,57,23,1,1,6800.0,6800.0,true
595,FEMTO,57,23,1,0,6800.0,6800.0,false
596,FEMTO,57,23,1,1,6800.0,6800.0,true
597,FEMTO,57,23,1,4,6800.0,1700.0,true
598,FEMTO,57,23,1,0,6800.0,6800.0,false
599,FEMTO,57,23,1,0,6800.0,6800.0,true
600,FEMTO,57,23,1,1,6800.0,6800.0,true
601,FEMTO,57,23,1,0,6800.0,6800.0,false
602,FEMTO,57,23,1,0,6800.0,6800.0,true
