id,x,y,cell,capacity
0,16,68,638,40.20566067887016
1,64,77,842,6.398511044492779
2,90,29,506,33.79762936595948
3,36,38,141,0.8170437729285982
4,91,41,1176,2.7301621130584963
5,58,25,597,22.624980589273346
6,90,26,832,5.93058035359357
7,55,82,842,5.650986487877918
8,56,42,767,45.97604396739197
9,60,5,1170,28.066831047394505
10,44,99,183,12.073334495857772
11,83,72,432,1.678290719133973
12,46,28,741,14.049857111713584
13,82,30,1176,4.625703171860078
14,19,63,1011,40.20518176906634
15,80,49,821,20.266733366911517
16,75,35,884,23.804348300881173
17,0,14,469,35.40391148221293
18,19,42,141,0.6858742517236531
19,43,97,676,44.0025886478037
20,85,32,1176,4.301658042166967
21,4,27,567,31.011885440492257
22,63,16,503,97.21007902070669
23,38,16,1188,91.18444641224396
24,41,99,183,9.935778415112487
25,66,10,842,34.12795874722392
26,0,14,469,35.40391148221293
27,80,45,505,9.456230163051497
28,65,42,925,46.87923358514586
29,77,93,551,30.575650768636926
30,33,52,841,26.626995569478392
31,3,78,141,0.6576782464446999
32,27,76,647,46.3762210943277
33,65,23,600,88.78079601496158
34,43,85,608,65.65502773467136
35,29,17,1155,31.602481879150375
36,54,26,597,20.890335750846585
37,20,72,897,27.443457094446753
38,80,53,481,30.277702118660432
39,82,80,442,1.573585913072785
40,2,29,526,33.88401588944908
41,47,78,141,0.5752779415328461
42,54,19,592,103.98713237380595
43,14,37,218,12.34136474209188
44,92,33,1176,3.0516796893389584
45,52,45,373,29.235522609275918
46,35,58,540,24.740623098634362
47,21,51,141,0.7442831782642623
48,96,15,1045,16.180449346205148
49,60,38,924,57.85190141983422
50,51,84,141,0.5142623970572463
51,68,47,372,6.709427773014205
52,29,39,1112,28.803973761587113
53,31,7,736,32.72712625027199
54,47,57,1055,22.71645651928134
55,22,27,992,43.26285646970755
56,77,74,708,49.02065470253046
57,16,41,363,2.955039677123007
58,22,48,141,0.7460885902080934
59,94,18,501,16.559960579971484
60,95,37,432,2.289773513419921
61,32,20,871,84.12079084749091
62,15,82,141,0.6079879316328264
63,41,61,369,12.476309404431465
64,31,72,891,56.307452549593435
65,4,15,574,82.34657860293107
66,59,8,500,22.17840151174783
67,2,15,468,28.02165938143815
68,74,83,442,1.5969640705344637
69,97,96,1146,71.69837558444591
70,98,93,1148,22.48443477018089
71,44,33,741,10.679340635416917
72,60,92,442,1.335820577455187
73,88,0,1036,12.334955937652325
74,99,57,432,1.949233224600605
75,12,86,141,0.5951948079338062
76,83,34,1176,4.112422057972848
77,96,0,1036,9.13629515982426
78,58,95,442,1.2698116543907751
79,29,96,141,0.5298419511780941
80,23,71,141,0.6457783900784843
81,69,92,442,1.5058984936127522
82,51,60,1057,74.06873368242923
83,9,96,363,2.38338316207482
84,33,63,539,36.429038988305535
85,1,12,468,20.152267816109887
86,57,49,1174,29.38569811107211
87,47,73,141,0.6003844806672128
88,94,73,773,71.06715118395857
89,36,61,539,18.679910211857592
90,10,11,857,48.94442096913064
91,0,38,218,12.432333746388633
92,79,85,122,9.908617013890614
93,49,4,1082,45.075642990263056
94,67,46,372,6.7906377658112635
95,55,79,1207,29.843095660701223
96,60,8,500,22.357301749433002
97,48,95,685,21.70570222210964
98,34,5,736,37.82479168081896
99,51,12,744,86.32097915927486
100,30,41,1112,18.53582381217751
101,19,54,141,0.7379154414389117
102,21,84,363,2.4586950296621053
103,82,13,1200,40.37018578882858
104,71,99,582,40.36249846527357
105,47,54,1054,20.66660557998916
106,46,50,1054,8.518789198983015
107,21,14,711,42.155968326002025
108,94,88,1149,29.03210823343869
109,63,86,442,1.419647439291759
110,17,87,363,2.451529575851786
111,86,23,832,7.277605078148426
112,76,31,831,21.97567748532301
113,1,90,141,0.6088462272583525
114,21,5,716,52.29510187376811
115,18,86,363,2.4630365636909834
116,40,6,1183,93.11690655168547
117,90,18,832,6.859756189256429
118,86,27,1196,47.04734025205615
119,23,68,292,23.514196370530453
120,73,83,442,1.5908284428625996
121,20,77,141,0.6167814564761268
122,89,37,1170,10.732168946837225
123,63,12,500,26.47141497977719
124,27,22,1155,22.119597324559237
125,10,84,141,0.6156898937496416
126,25,24,991,50.46920508745844
127,81,52,821,35.44327423266196
128,77,89,122,12.03695236141023
129,83,65,432,1.803203552276619
130,87,36,1176,3.403033873101308
131,55,26,596,104.60554663138524
132,91,8,496,46.862152186265526
133,24,77,899,37.359820423715185
134,4,8,865,79.43336323963268
135,26,94,141,0.5271276315018207
136,15,62,351,25.91692824374604
137,36,1,1073,76.69645748989782
138,79,53,481,20.182908287166743
139,75,33,505,14.801041834309526
140,57,31,597,20.615925855994206
141,3,88,141,0.6149964898175269
142,52,26,594,77.79489730507143
143,93,75,771,67.33387157049708
144,88,92,1025,53.10175520083721
145,85,78,236,10.174667615668591
146,74,60,442,1.823943462864207
147,63,85,442,1.4286922860321631
148,80,13,1200,40.773383589328255
149,94,58,1046,24.17921135466468
150,78,12,1201,88.59401890023392
151,0,92,141,0.6041735915630457
152,48,89,141,0.5053866373345612
153,70,77,703,50.442866959235474
154,87,79,780,42.149753484728244
155,43,20,741,20.333836531538548
156,51,49,1054,9.95306132123734
157,90,25,832,6.086940883037117
158,11,48,141,0.6687457362702953
159,53,68,509,70.51570897732556
160,47,42,763,50.40904086884291
161,43,75,141,0.6079262042822312
162,85,76,779,40.850706662827996
163,8,80,141,0.6430868713461028
164,29,91,141,0.5404324203718132
165,81,2,1036,17.86897308366475
166,18,77,141,0.6235492212341953
167,97,47,432,2.0608985082465145
168,81,2,1036,17.86897308366475
169,44,34,741,8.358117605469035
170,28,23,990,48.46909208056047
171,37,38,141,0.8239566478407403
172,62,15,501,46.03990485006016
173,79,36,831,17.23448621465346
174,65,83,442,1.5044113472196805
175,22,13,712,46.205298451899765
176,81,0,1036,17.60664236498339
177,77,91,551,12.765608337022094
178,45,81,394,21.247180988305118
179,10,73,141,0.6737266064052025
180,72,4,1045,53.459511452307616
181,97,36,432,2.321582273724968
182,55,15,591,83.51352812343474
183,45,49,374,27.21734875480873
184,42,71,141,0.6246333982710864
185,39,61,369,11.824220787602938
186,64,59,560,39.90769654578652
187,24,96,363,2.2088767531991094
188,23,79,363,2.536695074886307
189,91,25,832,5.984374964875055
190,89,49,432,2.0704859151843182
191,42,56,1055,11.062949635410446
192,58,37,597,15.814709239339749
193,43,89,610,52.346160200239474
194,91,89,432,1.616575397515031
195,99,73,232,22.146850048018074
196,13,64,1021,31.034278435799767
197,58,8,500,20.55967071808914
198,7,17,571,74.44059835872577
199,44,2,1072,98.56760230166468
200,68,33,884,45.777116484440874
201,36,60,113,23.72281817267193
202,81,56,471,53.38975911552916
203,48,30,1190,57.75810973556007
204,87,81,236,11.778763070833739
205,86,66,316,22.940372017923877
206,50,40,769,33.34523055253368
207,62,7,1170,32.02384488815232
208,47,37,759,59.32286748845821
209,5,85,1091,34.48060885646471
210,96,13,266,29.540718807253228
211,82,27,1176,4.858415472160136
212,61,56,372,6.513985325843153
213,35,95,141,0.5362755005807214
214,98,34,432,2.350867480135565
215,51,38,769,33.556358453718815
216,44,59,1055,8.902494194076331
217,79,46,505,9.580467762721304
218,66,47,372,6.856214286360266
219,68,72,442,1.621411529033579
220,50,92,685,23.091596708828856
221,24,47,141,0.7570074196224968
222,72,97,545,68.50085986536563
223,44,73,1004,23.603849622646134
224,67,11,1169,96.49482588617501
225,90,35,1176,3.2507950905782446
226,2,15,468,28.02165938143815
227,15,59,1020,33.92613690276292
228,51,67,1008,66.33755431507976
229,18,76,141,0.6352518731913279
230,48,68,662,51.52100460947098
231,17,81,141,0.6029280794228777
232,86,54,432,2.0240184869376425
233,36,12,737,92.27631444649765
234,7,46,733,50.73519259576901
235,88,35,1176,3.4101837830212527
236,83,80,432,1.5789223115018363
237,92,34,1176,3.0484065665559403
238,80,64,442,1.7698013019459236
239,24,95,363,2.2168857024888897
240,87,96,1028,28.262909985894282
241,96,62,432,1.9266555913655075
242,7,25,527,48.46909208056047
243,95,97,1144,52.38887611352162
244,49,54,1054,23.96819291103181
245,10,25,753,38.43112475579044
246,41,18,739,47.17493137417337
247,75,96,547,61.922706501683436
248,1,85,1091,12.612240652308879
249,7,94,141,0.5723492702281971
250,88,15,832,6.509560447430124
251,44,34,741,8.358117605469035
252,11,78,141,0.6446675528466638
253,52,93,684,40.90444289496653
254,24,34,739,13.70640825148213
255,12,19,754,30.390797855634926
256,39,31,1082,17.235902216454626
