id,x,y,cell,capacity
0,16,68,638,40.20566067887016
1,64,77,667,50.17044870719212
2,90,29,506,33.79762936595948
3,36,38,1076,14.725671536652564
4,91,41,1176,2.7301621130584963
5,58,25,598,106.91787500984927
6,90,26,1177,10.3575285906333
7,55,82,370,24.320786185075633
8,56,42,1051,47.95024157453878
9,60,5,839,98.00176623149832
10,44,99,677,42.51806342755346
11,83,72,385,1.3697503233761912
12,46,28,741,14.049857111713584
13,82,30,1176,4.625703171860078
14,19,63,1011,40.20518176906634
15,80,49,821,20.266733366911517
16,75,35,916,25.868126106678005
17,0,14,469,35.40391148221293
18,19,42,438,2.040436587538756
19,43,97,676,44.0025886478037
20,85,32,1176,4.301658042166967
21,4,27,852,53.340979297429634
22,63,16,1173,101.40423132706866
23,38,16,738,105.92292861704324
24,41,99,265,5.1301776651460544
25,66,10,842,102.38387624167179
26,0,14,469,35.40391148221293
27,80,45,96,5.728823121277446
28,65,42,925,46.87923358514586
29,77,93,551,61.15130153727385
30,33,52,841,26.626995569478392
31,3,78,438,1.723173241611354
32,27,76,900,57.36954640279732
33,65,23,1174,78.30008739793361
34,43,85,608,65.65502773467136
35,29,17,878,88.3670411424854
36,54,26,503,64.18029085298359
37,20,72,897,27.443457094446753
38,80,53,822,65.53167865368061
39,82,80,385,1.3480408718218286
40,2,29,751,49.464028306033974
41,47,78,265,5.525933665213036
42,54,19,593,87.6285084641903
43,14,37,218,12.34136474209188
44,92,33,1176,3.0516796893389584
45,52,45,766,46.72801577251852
46,35,58,540,24.740623098634362
47,21,51,438,1.9691420379721438
48,96,15,1035,8.493479213536189
49,60,38,924,57.85190141983422
50,51,84,265,5.505986948449339
51,68,47,385,1.4881229243891811
52,29,39,1112,57.607947523174225
53,31,7,736,65.45425250054399
54,47,57,1055,22.71645651928134
55,22,27,992,43.26285646970755
56,77,74,708,49.02065470253046
57,16,41,438,1.9759920951293841
58,22,48,438,1.9984250356770616
59,94,18,1035,9.01205894271275
60,95,37,432,9.159094053679684
61,32,20,871,84.12079084749091
62,15,82,438,1.600033634124676
63,41,61,369,12.476309404431465
64,31,72,891,56.307452549593435
65,4,15,574,82.34657860293107
66,59,8,1171,42.580428640521944
67,2,15,575,38.260411142764774
68,74,83,385,1.3182230948617828
69,97,96,1146,71.69837558444591
70,98,93,1147,55.688663580179735
71,44,33,741,10.679340635416917
72,60,92,142,7.577119837821965
73,88,0,834,43.68583167094651
74,99,57,96,5.028700354340285
75,12,86,1086,30.57589168188051
76,83,34,1176,4.112422057972848
77,96,0,601,29.68665418708302
78,58,95,186,22.443658058318384
79,29,96,385,1.0124433276650615
80,23,71,896,44.2315722839921
81,69,92,543,40.792625593126
82,51,60,1057,74.06873368242923
83,9,96,438,1.4938988043107884
84,33,63,539,36.429038988305535
85,1,12,855,54.26584189625598
86,57,49,1050,69.29618889800392
87,47,73,1204,29.843095660701223
88,94,73,773,71.06715118395857
89,36,61,539,18.679910211857592
90,10,11,859,77.42909644201576
91,0,38,218,12.432333746388633
92,79,85,385,1.326140631114176
93,49,4,1081,105.12284189333292
94,67,46,882,34.432838848981156
95,55,79,1207,29.843095660701223
96,60,8,1171,42.4261971237745
97,48,95,686,69.9179139568685
98,34,5,1184,83.04478941251062
99,51,12,744,86.32097915927486
100,30,41,1111,51.733327412188686
101,19,54,1015,44.439073344916025
102,21,84,167,20.54797262190737
103,82,13,1200,40.37018578882858
104,71,99,583,68.26294222819337
105,47,54,1054,41.33321115997832
106,46,50,1053,31.9926116472303
107,21,14,721,42.66046453653334
108,94,88,1149,29.03210823343869
109,63,86,142,7.877390000158391
110,17,87,363,9.806118303407144
111,86,23,1197,40.9978749879727
112,76,31,885,48.58927973499558
113,1,90,438,1.6321446361144272
114,21,5,717,75.93007869073512
115,18,86,363,9.852146254763934
116,40,6,735,88.96680857109602
117,90,18,1198,23.916808843046486
118,86,27,1196,47.04734025205615
119,23,68,895,31.203917332088352
120,73,83,385,1.3097137248435375
121,20,77,141,4.194113904037662
122,89,37,1170,16.09825342025584
123,63,12,1172,100.16457169679933
124,27,22,1157,84.04054951019492
125,10,84,1087,58.425827363869935
126,25,24,1187,52.34425191326606
127,81,52,821,35.44327423266196
128,77,89,552,16.232662766338002
129,83,65,265,6.617110926323679
130,87,36,1176,3.403033873101308
131,55,26,594,43.48929902584152
132,91,8,835,44.70829435079089
133,24,77,899,37.359820423715185
134,4,8,865,79.43336323963268
135,26,94,385,0.9873337792205615
